id;x;y;subnet;voltLvl
coord_0;11.411;53.6407;LV1.101;7
coord_1;11.4102;53.6407;LV1.101;7
coord_2;11.4085;53.6392;LV1.101;7
coord_3;11.4097;53.6413;LV1.101;7
coord_4;11.4093;53.6387;LV1.101;7
coord_5;11.4093;53.6392;LV1.101;7
coord_6;11.4093;53.6407;LV1.101;7
coord_7;11.4085;53.6407;LV1.101;7
coord_8;11.4102;53.6402;LV1.101;7
coord_9;11.4085;53.6397;LV1.101;7
coord_10;11.4085;53.6402;LV1.101;7
coord_11;11.4093;53.6403;LV1.101;7
coord_12;11.4103;53.6397;LV1.101;7
coord_13;11.4093;53.6397;LV1.101;7
coord_14;11.411;53.6411;LV1.102;7
coord_15;11.4102;53.6412;LV1.102;7
coord_16;11.4085;53.6396;LV1.102;7
coord_17;11.4097;53.6417;LV1.102;7
coord_18;11.4093;53.6391;LV1.102;7
coord_19;11.4093;53.6396;LV1.102;7
coord_20;11.4093;53.6412;LV1.102;7
coord_21;11.4085;53.6411;LV1.102;7
coord_22;11.4102;53.6407;LV1.102;7
coord_23;11.4085;53.6401;LV1.102;7
coord_24;11.4085;53.6406;LV1.102;7
coord_25;11.4093;53.6407;LV1.102;7
coord_26;11.4103;53.6401;LV1.102;7
coord_27;11.4093;53.6401;LV1.102;7
coord_28;11.411;53.6415;LV1.103;7
coord_29;11.4102;53.6415;LV1.103;7
coord_30;11.4084;53.6399;LV1.103;7
coord_31;11.4097;53.642;LV1.103;7
coord_32;11.4092;53.6394;LV1.103;7
coord_33;11.4092;53.64;LV1.103;7
coord_34;11.4093;53.6415;LV1.103;7
coord_35;11.4085;53.6415;LV1.103;7
coord_36;11.4102;53.641;LV1.103;7
coord_37;11.4085;53.6404;LV1.103;7
coord_38;11.4085;53.6409;LV1.103;7
coord_39;11.4092;53.641;LV1.103;7
coord_40;11.4103;53.6405;LV1.103;7
coord_41;11.4092;53.6405;LV1.103;7
coord_42;11.4131;53.6502;LV1.104;7
coord_43;11.4124;53.6502;LV1.104;7
coord_44;11.4106;53.6487;LV1.104;7
coord_45;11.4119;53.6507;LV1.104;7
coord_46;11.4114;53.6482;LV1.104;7
coord_47;11.4114;53.6487;LV1.104;7
coord_48;11.4115;53.6502;LV1.104;7
coord_49;11.4107;53.6502;LV1.104;7
coord_50;11.4124;53.6497;LV1.104;7
coord_51;11.4106;53.6492;LV1.104;7
coord_52;11.4107;53.6497;LV1.104;7
coord_53;11.4114;53.6498;LV1.104;7
coord_54;11.4124;53.6492;LV1.104;7
coord_55;11.4114;53.6492;LV1.104;7
coord_56;11.4052;53.6353;LV1.105;7
coord_57;11.4044;53.6353;LV1.105;7
coord_58;11.4026;53.6337;LV1.105;7
coord_59;11.4039;53.6358;LV1.105;7
coord_60;11.4034;53.6333;LV1.105;7
coord_61;11.4034;53.6338;LV1.105;7
coord_62;11.4035;53.6353;LV1.105;7
coord_63;11.4027;53.6353;LV1.105;7
coord_64;11.4044;53.6348;LV1.105;7
coord_65;11.4027;53.6343;LV1.105;7
coord_66;11.4027;53.6348;LV1.105;7
coord_67;11.4034;53.6348;LV1.105;7
coord_68;11.4045;53.6343;LV1.105;7
coord_69;11.4034;53.6343;LV1.105;7
coord_70;11.4004;53.6301;LV1.106;7
coord_71;11.3996;53.6301;LV1.106;7
coord_72;11.3978;53.6286;LV1.106;7
coord_73;11.3991;53.6306;LV1.106;7
coord_74;11.3986;53.6281;LV1.106;7
coord_75;11.3986;53.6286;LV1.106;7
coord_76;11.3987;53.6301;LV1.106;7
coord_77;11.3979;53.6301;LV1.106;7
coord_78;11.3996;53.6296;LV1.106;7
coord_79;11.3979;53.6291;LV1.106;7
coord_80;11.3979;53.6296;LV1.106;7
coord_81;11.3986;53.6297;LV1.106;7
coord_82;11.3997;53.6291;LV1.106;7
coord_83;11.3986;53.6291;LV1.106;7
coord_84;11.3995;53.6296;LV1.107;7
coord_85;11.3988;53.6296;LV1.107;7
coord_86;11.397;53.6281;LV1.107;7
coord_87;11.3983;53.6301;LV1.107;7
coord_88;11.3978;53.6276;LV1.107;7
coord_89;11.3978;53.6281;LV1.107;7
coord_90;11.3978;53.6296;LV1.107;7
coord_91;11.3971;53.6296;LV1.107;7
coord_92;11.3988;53.6291;LV1.107;7
coord_93;11.397;53.6286;LV1.107;7
coord_94;11.3971;53.6291;LV1.107;7
coord_95;11.3978;53.6291;LV1.107;7
coord_96;11.3988;53.6286;LV1.107;7
coord_97;11.3978;53.6286;LV1.107;7
coord_98;11.3988;53.6292;LV1.108;7
coord_99;11.398;53.6292;LV1.108;7
coord_100;11.3963;53.6277;LV1.108;7
coord_101;11.3975;53.6298;LV1.108;7
coord_102;11.3971;53.6272;LV1.108;7
coord_103;11.3971;53.6277;LV1.108;7
coord_104;11.3971;53.6292;LV1.108;7
coord_105;11.3963;53.6292;LV1.108;7
coord_106;11.398;53.6287;LV1.108;7
coord_107;11.3963;53.6282;LV1.108;7
coord_108;11.3963;53.6287;LV1.108;7
coord_109;11.3971;53.6288;LV1.108;7
coord_110;11.3981;53.6282;LV1.108;7
coord_111;11.397;53.6282;LV1.108;7
coord_112;11.4112;53.6348;LV1.109;7
coord_113;11.4105;53.6348;LV1.109;7
coord_114;11.4087;53.6333;LV1.109;7
coord_115;11.41;53.6353;LV1.109;7
coord_116;11.4095;53.6328;LV1.109;7
coord_117;11.4095;53.6333;LV1.109;7
coord_118;11.4096;53.6348;LV1.109;7
coord_119;11.4088;53.6348;LV1.109;7
coord_120;11.4105;53.6343;LV1.109;7
coord_121;11.4087;53.6338;LV1.109;7
coord_122;11.4088;53.6343;LV1.109;7
coord_123;11.4095;53.6344;LV1.109;7
coord_124;11.4105;53.6338;LV1.109;7
coord_125;11.4095;53.6338;LV1.109;7
coord_126;11.4112;53.629;LV1.110;7
coord_127;11.4104;53.629;LV1.110;7
coord_128;11.4086;53.6274;LV1.110;7
coord_129;11.4099;53.6295;LV1.110;7
coord_130;11.4095;53.627;LV1.110;7
coord_131;11.4094;53.6275;LV1.110;7
coord_132;11.4095;53.629;LV1.110;7
coord_133;11.4087;53.629;LV1.110;7
coord_134;11.4104;53.6285;LV1.110;7
coord_135;11.4087;53.628;LV1.110;7
coord_136;11.4087;53.6285;LV1.110;7
coord_137;11.4094;53.6285;LV1.110;7
coord_138;11.4105;53.628;LV1.110;7
coord_139;11.4094;53.628;LV1.110;7
coord_140;11.4141;53.6225;LV1.111;7
coord_141;11.4133;53.6225;LV1.111;7
coord_142;11.4116;53.621;LV1.111;7
coord_143;11.4128;53.6231;LV1.111;7
coord_144;11.4124;53.6205;LV1.111;7
coord_145;11.4124;53.621;LV1.111;7
coord_146;11.4124;53.6225;LV1.111;7
coord_147;11.4116;53.6225;LV1.111;7
coord_148;11.4133;53.622;LV1.111;7
coord_149;11.4116;53.6215;LV1.111;7
coord_150;11.4116;53.622;LV1.111;7
coord_151;11.4124;53.6221;LV1.111;7
coord_152;11.4134;53.6215;LV1.111;7
coord_153;11.4123;53.6215;LV1.111;7
coord_154;11.4108;53.6255;LV1.112;7
coord_155;11.4101;53.6255;LV1.112;7
coord_156;11.4083;53.624;LV1.112;7
coord_157;11.4096;53.626;LV1.112;7
coord_158;11.4091;53.6235;LV1.112;7
coord_159;11.4091;53.624;LV1.112;7
coord_160;11.4091;53.6255;LV1.112;7
coord_161;11.4084;53.6255;LV1.112;7
coord_162;11.4101;53.625;LV1.112;7
coord_163;11.4083;53.6245;LV1.112;7
coord_164;11.4084;53.625;LV1.112;7
coord_165;11.4091;53.6251;LV1.112;7
coord_166;11.4101;53.6245;LV1.112;7
coord_167;11.4091;53.6245;LV1.112;7
coord_168;11.4104;53.6406;LV1.113;7
coord_169;11.4097;53.6406;LV1.113;7
coord_170;11.4079;53.639;LV1.113;7
coord_171;11.4092;53.6411;LV1.113;7
coord_172;11.4087;53.6385;LV1.113;7
coord_173;11.4087;53.6391;LV1.113;7
coord_174;11.4087;53.6406;LV1.113;7
coord_175;11.408;53.6406;LV1.113;7
coord_176;11.4097;53.6401;LV1.113;7
coord_177;11.4079;53.6395;LV1.113;7
coord_178;11.408;53.64;LV1.113;7
coord_179;11.4087;53.6401;LV1.113;7
coord_180;11.4097;53.6396;LV1.113;7
coord_181;11.4087;53.6396;LV1.113;7
coord_182;11.4079;53.6436;LV1.114;7
coord_183;11.4071;53.6436;LV1.114;7
coord_184;11.4053;53.6421;LV1.114;7
coord_185;11.4066;53.6441;LV1.114;7
coord_186;11.4061;53.6416;LV1.114;7
coord_187;11.4061;53.6421;LV1.114;7
coord_188;11.4062;53.6436;LV1.114;7
coord_189;11.4054;53.6436;LV1.114;7
coord_190;11.4071;53.6431;LV1.114;7
coord_191;11.4054;53.6426;LV1.114;7
coord_192;11.4054;53.6431;LV1.114;7
coord_193;11.4061;53.6431;LV1.114;7
coord_194;11.4072;53.6426;LV1.114;7
coord_195;11.4061;53.6426;LV1.114;7
coord_196;11.4074;53.6441;LV1.115;7
coord_197;11.4067;53.6441;LV1.115;7
coord_198;11.4049;53.6425;LV1.115;7
coord_199;11.4062;53.6446;LV1.115;7
coord_200;11.4057;53.642;LV1.115;7
coord_201;11.4057;53.6425;LV1.115;7
coord_202;11.4058;53.6441;LV1.115;7
coord_203;11.405;53.644;LV1.115;7
coord_204;11.4067;53.6436;LV1.115;7
coord_205;11.4049;53.643;LV1.115;7
coord_206;11.405;53.6435;LV1.115;7
coord_207;11.4057;53.6436;LV1.115;7
coord_208;11.4067;53.6431;LV1.115;7
