id;nodeA;nodeB;type;length;loadingMax;subnet;voltLvl
LV1.101 Line 1;LV1.101 Bus 10_1;LV1.101 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.101;7
LV1.101 Line 2;LV1.101 Bus 14_1;LV1.101 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.101;7
LV1.101 Line 3;LV1.101 Bus 7_1;LV1.101 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.101;7
LV1.101 Line 4;LV1.101 Bus 9_1;LV1.101 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.101;7
LV1.101 Line 5;LV1.101 Bus 8_1;LV1.101 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.101;7
LV1.101 Line 6;LV1.101 Bus 11_2;LV1.101 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.101;7
LV1.101 Line 7;LV1.101 Bus 4_2;LV1.101 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.101;7
LV1.101 Line 8;LV1.101 Bus 12_2;LV1.101 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.101;7
LV1.101 Line 9;LV1.101 Bus 6_1;LV1.101 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.101;7
LV1.101 Line 10;LV1.101 Bus 4_3;LV1.101 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.101;7
LV1.101 Line 12;LV1.101 Bus 2_2;LV1.101 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.101;7
LV1.101 Line 13;LV1.101 Bus 13_1;LV1.101 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.101;7
LV1.101 Line 11;LV1.101 Bus 5_1;LV1.101 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.101;7
LV1.102 Line 1;LV1.102 Bus 10_1;LV1.102 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.102;7
LV1.102 Line 2;LV1.102 Bus 14_1;LV1.102 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.102;7
LV1.102 Line 3;LV1.102 Bus 7_1;LV1.102 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.102;7
LV1.102 Line 4;LV1.102 Bus 9_1;LV1.102 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.102;7
LV1.102 Line 5;LV1.102 Bus 8_1;LV1.102 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.102;7
LV1.102 Line 6;LV1.102 Bus 11_2;LV1.102 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.102;7
LV1.102 Line 7;LV1.102 Bus 4_2;LV1.102 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.102;7
LV1.102 Line 8;LV1.102 Bus 12_2;LV1.102 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.102;7
LV1.102 Line 9;LV1.102 Bus 6_1;LV1.102 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.102;7
LV1.102 Line 10;LV1.102 Bus 4_3;LV1.102 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.102;7
LV1.102 Line 12;LV1.102 Bus 2_2;LV1.102 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.102;7
LV1.102 Line 13;LV1.102 Bus 13_1;LV1.102 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.102;7
LV1.102 Line 11;LV1.102 Bus 5_1;LV1.102 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.102;7
LV1.103 Line 1;LV1.103 Bus 10_1;LV1.103 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.103;7
LV1.103 Line 2;LV1.103 Bus 14_1;LV1.103 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.103;7
LV1.103 Line 3;LV1.103 Bus 7_1;LV1.103 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.103;7
LV1.103 Line 4;LV1.103 Bus 9_1;LV1.103 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.103;7
LV1.103 Line 5;LV1.103 Bus 8_1;LV1.103 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.103;7
LV1.103 Line 6;LV1.103 Bus 11_2;LV1.103 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.103;7
LV1.103 Line 7;LV1.103 Bus 4_2;LV1.103 Bus 8_2;NAYY 4x150SE 0.6/1kV;0.00514112;100;LV1.103;7
LV1.103 Line 8;LV1.103 Bus 12_2;LV1.103 Bus 7_2;NAYY 4x150SE 0.6/1kV;0.00214695;100;LV1.103;7
LV1.103 Line 9;LV1.103 Bus 6_1;LV1.103 Bus 14_2;NAYY 4x150SE 0.6/1kV;0.137215;100;LV1.103;7
LV1.103 Line 10;LV1.103 Bus 4_3;LV1.103 Bus 1_1;NAYY 4x150SE 0.6/1kV;0.132499;100;LV1.103;7
LV1.103 Line 12;LV1.103 Bus 2_2;LV1.103 Bus 4_4;NAYY 4x150SE 0.6/1kV;0.0162072;100;LV1.103;7
LV1.103 Line 13;LV1.103 Bus 13_1;LV1.103 Bus 9_2;NAYY 4x150SE 0.6/1kV;0.0460153;100;LV1.103;7
LV1.103 Line 11;LV1.103 Bus 5_1;LV1.103 Bus 6_2;NAYY 4x150SE 0.6/1kV;0.00258257;100;LV1.103;7
LV1.104 Line 1;LV1.104 Bus 10_1;LV1.104 Bus 3_1;NAYY 4x150SE 0.6/1kV;0.0557667;100;LV1.104;7
LV1.104 Line 2;LV1.104 Bus 14_1;LV1.104 Bus 12_1;NAYY 4x150SE 0.6/1kV;0.0535763;100;LV1.104;7
LV1.104 Line 3;LV1.104 Bus 7_1;LV1.104 Bus 4_1;NAYY 4x150SE 0.6/1kV;0.0498145;100;LV1.104;7
LV1.104 Line 4;LV1.104 Bus 9_1;LV1.104 Bus 2_1;NAYY 4x150SE 0.6/1kV;0.0178861;100;LV1.104;7
LV1.104 Line 5;LV1.104 Bus 8_1;LV1.104 Bus 11_1;NAYY 4x150SE 0.6/1kV;0.0160892;100;LV1.104;7
LV1.104 Line 6;LV1.104 Bus 11_2;LV1.104 Bus 10_2;NAYY 4x150SE 0.6/1kV;0.0247661;100;LV1.104;7
