node;vm;va;substation;subnet;voltLvl
LV1.101 Bus 1;1.0108;2.29792;NULL;LV1.101;7
LV1.101 Bus 2;1.01377;2.30764;NULL;LV1.101;7
LV1.101 Bus 3;1.01409;2.34692;NULL;LV1.101;7
LV1.101 Bus 4;1.01354;2.29712;NULL;LV1.101;7
LV1.101 Bus 5;1.00801;2.35533;NULL;LV1.101;7
LV1.101 Bus 6;1.00806;2.35532;NULL;LV1.101;7
LV1.101 Bus 7;1.01336;2.35378;NULL;LV1.101;7
LV1.101 Bus 8;1.01403;2.3112;NULL;LV1.101;7
LV1.101 Bus 9;1.01414;2.31921;NULL;LV1.101;7
LV1.101 Bus 10;1.01475;2.34673;NULL;LV1.101;7
LV1.101 Bus 11;1.01526;2.34658;NULL;LV1.101;7
LV1.101 Bus 12;1.01325;2.35381;NULL;LV1.101;7
LV1.101 Bus 13;1.01535;2.34885;NULL;LV1.101;7
LV1.101 Bus 14;1.01151;2.35431;NULL;LV1.101;7
LV1.102 Bus 1;1.01158;2.32091;NULL;LV1.102;7
LV1.102 Bus 2;1.01455;2.33062;NULL;LV1.102;7
LV1.102 Bus 3;1.01487;2.36984;NULL;LV1.102;7
LV1.102 Bus 4;1.01431;2.32012;NULL;LV1.102;7
LV1.102 Bus 5;1.00879;2.37824;NULL;LV1.102;7
LV1.102 Bus 6;1.00884;2.37822;NULL;LV1.102;7
LV1.102 Bus 7;1.01414;2.37669;NULL;LV1.102;7
LV1.102 Bus 8;1.01481;2.33417;NULL;LV1.102;7
LV1.102 Bus 9;1.01491;2.34217;NULL;LV1.102;7
LV1.102 Bus 10;1.01552;2.36965;NULL;LV1.102;7
LV1.102 Bus 11;1.01603;2.3695;NULL;LV1.102;7
LV1.102 Bus 12;1.01403;2.37672;NULL;LV1.102;7
LV1.102 Bus 13;1.01613;2.37176;NULL;LV1.102;7
LV1.102 Bus 14;1.01229;2.37721;NULL;LV1.102;7
LV1.103 Bus 1;1.01219;2.33868;NULL;LV1.103;7
LV1.103 Bus 2;1.01515;2.34838;NULL;LV1.103;7
LV1.103 Bus 3;1.01547;2.38755;NULL;LV1.103;7
LV1.103 Bus 4;1.01492;2.33789;NULL;LV1.103;7
LV1.103 Bus 5;1.0094;2.39594;NULL;LV1.103;7
LV1.103 Bus 6;1.00945;2.39592;NULL;LV1.103;7
LV1.103 Bus 7;1.01474;2.39439;NULL;LV1.103;7
LV1.103 Bus 8;1.01541;2.35192;NULL;LV1.103;7
LV1.103 Bus 9;1.01552;2.35991;NULL;LV1.103;7
LV1.103 Bus 10;1.01613;2.38736;NULL;LV1.103;7
LV1.103 Bus 11;1.01664;2.38721;NULL;LV1.103;7
LV1.103 Bus 12;1.01463;2.39442;NULL;LV1.103;7
LV1.103 Bus 13;1.01673;2.38947;NULL;LV1.103;7
LV1.103 Bus 14;1.01289;2.39492;NULL;LV1.103;7
LV1.104 Bus 1;1.00823;2.39692;NULL;LV1.104;7
LV1.104 Bus 2;1.01121;2.40669;NULL;LV1.104;7
LV1.104 Bus 3;1.01153;2.44617;NULL;LV1.104;7
LV1.104 Bus 4;1.01097;2.39612;NULL;LV1.104;7
LV1.104 Bus 5;1.00543;2.45463;NULL;LV1.104;7
LV1.104 Bus 6;1.00548;2.45461;NULL;LV1.104;7
LV1.104 Bus 7;1.01079;2.45307;NULL;LV1.104;7
LV1.104 Bus 8;1.01146;2.41026;NULL;LV1.104;7
LV1.104 Bus 9;1.01157;2.41832;NULL;LV1.104;7
LV1.104 Bus 10;1.01218;2.44598;NULL;LV1.104;7
LV1.104 Bus 11;1.01269;2.44583;NULL;LV1.104;7
LV1.104 Bus 12;1.01068;2.4531;NULL;LV1.104;7
LV1.104 Bus 13;1.01279;2.4481;NULL;LV1.104;7
LV1.104 Bus 14;1.00894;2.4536;NULL;LV1.104;7
LV1.105 Bus 1;1.00983;2.34481;NULL;LV1.105;7
LV1.105 Bus 2;1.0128;2.35455;NULL;LV1.105;7
LV1.105 Bus 3;1.01312;2.39391;NULL;LV1.105;7
LV1.105 Bus 4;1.01257;2.34402;NULL;LV1.105;7
LV1.105 Bus 5;1.00703;2.40234;NULL;LV1.105;7
LV1.105 Bus 6;1.00709;2.40232;NULL;LV1.105;7
LV1.105 Bus 7;1.01239;2.40078;NULL;LV1.105;7
LV1.105 Bus 8;1.01306;2.35812;NULL;LV1.105;7
LV1.105 Bus 9;1.01317;2.36614;NULL;LV1.105;7
LV1.105 Bus 10;1.01378;2.39372;NULL;LV1.105;7
LV1.105 Bus 11;1.01429;2.39357;NULL;LV1.105;7
LV1.105 Bus 12;1.01228;2.40082;NULL;LV1.105;7
LV1.105 Bus 13;1.01438;2.39584;NULL;LV1.105;7
LV1.105 Bus 14;1.01054;2.40131;NULL;LV1.105;7
LV1.106 Bus 1;1.00978;2.39784;NULL;LV1.106;7
LV1.106 Bus 2;1.01275;2.40758;NULL;LV1.106;7
LV1.106 Bus 3;1.01307;2.44694;NULL;LV1.106;7
LV1.106 Bus 4;1.01252;2.39705;NULL;LV1.106;7
LV1.106 Bus 5;1.00698;2.45537;NULL;LV1.106;7
LV1.106 Bus 6;1.00704;2.45536;NULL;LV1.106;7
LV1.106 Bus 7;1.01234;2.45382;NULL;LV1.106;7
LV1.106 Bus 8;1.01301;2.41114;NULL;LV1.106;7
LV1.106 Bus 9;1.01312;2.41917;NULL;LV1.106;7
LV1.106 Bus 10;1.01373;2.44675;NULL;LV1.106;7
LV1.106 Bus 11;1.01424;2.4466;NULL;LV1.106;7
LV1.106 Bus 12;1.01223;2.45385;NULL;LV1.106;7
LV1.106 Bus 13;1.01433;2.44887;NULL;LV1.106;7
LV1.106 Bus 14;1.01049;2.45434;NULL;LV1.106;7
LV1.107 Bus 1;1.00978;2.40302;NULL;LV1.107;7
LV1.107 Bus 2;1.01275;2.41276;NULL;LV1.107;7
LV1.107 Bus 3;1.01307;2.45212;NULL;LV1.107;7
LV1.107 Bus 4;1.01252;2.40222;NULL;LV1.107;7
LV1.107 Bus 5;1.00698;2.46055;NULL;LV1.107;7
LV1.107 Bus 6;1.00704;2.46053;NULL;LV1.107;7
LV1.107 Bus 7;1.01234;2.45899;NULL;LV1.107;7
LV1.107 Bus 8;1.01301;2.41632;NULL;LV1.107;7
LV1.107 Bus 9;1.01312;2.42435;NULL;LV1.107;7
LV1.107 Bus 10;1.01373;2.45193;NULL;LV1.107;7
LV1.107 Bus 11;1.01424;2.45178;NULL;LV1.107;7
LV1.107 Bus 12;1.01223;2.45903;NULL;LV1.107;7
LV1.107 Bus 13;1.01433;2.45405;NULL;LV1.107;7
LV1.107 Bus 14;1.01049;2.45952;NULL;LV1.107;7
LV1.108 Bus 1;1.00974;2.40608;NULL;LV1.108;7
LV1.108 Bus 2;1.01272;2.41583;NULL;LV1.108;7
LV1.108 Bus 3;1.01303;2.45519;NULL;LV1.108;7
LV1.108 Bus 4;1.01248;2.40529;NULL;LV1.108;7
LV1.108 Bus 5;1.00694;2.46362;NULL;LV1.108;7
LV1.108 Bus 6;1.007;2.4636;NULL;LV1.108;7
