time;PV1;PV3;PV4;PV5;PV6;PV7;PV8;WP4;WP7;BM1;BM2;BM3;Hydro2
01.01.2016 00:00;0;0;0;0;0;0;0;0.980906;0.991261;0.702308;0.661961;0.612549;0.284667
01.01.2016 00:15;0;0;0;0;0;0;0;0.983083;0.991023;0.702483;0.662174;0.609645;0.375918
01.01.2016 00:30;0;0;0;0;0;0;0;0.985261;0.990784;0.702659;0.662388;0.606742;0.381791
01.01.2016 00:45;0;0;0;0;0;0;0;0.987438;0.990546;0.702834;0.662601;0.603838;0.375184
01.01.2016 01:00;0;0;0;0;0;0;0;0.989616;0.990307;0.703009;0.662815;0.600935;0.37812
01.01.2016 01:15;0;0;0;0;0;0;0;0.990115;0.989069;0.701129;0.660356;0.598903;0.37812
01.01.2016 01:30;0;0;0;0;0;0;0;0.990615;0.987832;0.699248;0.657898;0.596872;0.454479
01.01.2016 01:45;0;0;0;0;0;0;0;0.991115;0.986594;0.697367;0.65544;0.59484;0.494126
01.01.2016 02:00;0;0;0;0;0;0;0;0.991615;0.985356;0.695486;0.652981;0.592809;0.509545
01.01.2016 02:15;0;0;0;0;0;0;0;0.991696;0.986617;0.691872;0.652506;0.590441;0.50514
01.01.2016 02:30;0;0;0;0;0;0;0;0.991777;0.987879;0.688258;0.65203;0.588073;0.499266
01.01.2016 02:45;0;0;0;0;0;0;0;0.991858;0.98914;0.684644;0.651555;0.585705;0.477974
01.01.2016 03:00;0;0;0;0;0;0;0;0.991939;0.990401;0.68103;0.651079;0.583338;0.374449
01.01.2016 03:15;0;0;0;0;0;0;0;0.991727;0.989879;0.678364;0.646981;0.580418;0.364905
01.01.2016 03:30;0;0;0;0;0;0;0;0.991516;0.989357;0.675698;0.642883;0.577498;0.377386
01.01.2016 03:45;0;0;0;0;0;0;0;0.991304;0.988835;0.673031;0.638785;0.574578;0.375184
01.01.2016 04:00;0;0;0;0;0;0;0;0.991093;0.988313;0.670365;0.634687;0.571658;0.38326
01.01.2016 04:15;0;0;0;0;0;0;0;0.990483;0.988864;0.667878;0.631997;0.570193;0.373715
