id;nodeA;nodeB;type;cond;substation;subnet;voltLvl
LV1.101 Switch 1;LV1.101 Bus 1;LV1.101 Bus 1_1;LS;1;NULL;LV1.101;7
LV1.101 Switch 2;LV1.101 Bus 2;LV1.101 Bus 2_1;LS;1;NULL;LV1.101;7
LV1.101 Switch 3;LV1.101 Bus 2;LV1.101 Bus 2_2;LS;1;NULL;LV1.101;7
LV1.101 Switch 4;LV1.101 Bus 3;LV1.101 Bus 3_1;LS;1;NULL;LV1.101;7
LV1.101 Switch 5;LV1.101 Bus 4;LV1.101 Bus 4_1;LS;1;NULL;LV1.101;7
LV1.101 Switch 6;LV1.101 Bus 4;LV1.101 Bus 4_2;LS;1;NULL;LV1.101;7
LV1.101 Switch 7;LV1.101 Bus 4;LV1.101 Bus 4_3;LS;1;NULL;LV1.101;7
LV1.101 Switch 8;LV1.101 Bus 4;LV1.101 Bus 4_4;LS;1;NULL;LV1.101;7
LV1.101 Switch 9;LV1.101 Bus 4;LV1.101 Bus 4_5;CB;1;NULL;LV1.101;7
LV1.101 Switch 10;LV1.101 Bus 5;LV1.101 Bus 5_1;LS;1;NULL;LV1.101;7
LV1.101 Switch 12;LV1.101 Bus 6;LV1.101 Bus 6_1;LS;1;NULL;LV1.101;7
LV1.101 Switch 13;LV1.101 Bus 6;LV1.101 Bus 6_2;LS;1;NULL;LV1.101;7
LV1.101 Switch 14;LV1.101 Bus 7;LV1.101 Bus 7_1;LS;1;NULL;LV1.101;7
LV1.101 Switch 15;LV1.101 Bus 7;LV1.101 Bus 7_2;LS;1;NULL;LV1.101;7
LV1.101 Switch 16;LV1.101 Bus 8;LV1.101 Bus 8_1;LS;1;NULL;LV1.101;7
LV1.101 Switch 17;LV1.101 Bus 8;LV1.101 Bus 8_2;LS;1;NULL;LV1.101;7
LV1.101 Switch 18;LV1.101 Bus 9;LV1.101 Bus 9_1;LS;1;NULL;LV1.101;7
LV1.101 Switch 19;LV1.101 Bus 9;LV1.101 Bus 9_2;LS;1;NULL;LV1.101;7
LV1.101 Switch 20;LV1.101 Bus 10;LV1.101 Bus 10_1;LS;1;NULL;LV1.101;7
LV1.101 Switch 21;LV1.101 Bus 10;LV1.101 Bus 10_2;LS;1;NULL;LV1.101;7
LV1.101 Switch 22;LV1.101 Bus 11;LV1.101 Bus 11_1;LS;1;NULL;LV1.101;7
LV1.101 Switch 23;LV1.101 Bus 11;LV1.101 Bus 11_2;LS;1;NULL;LV1.101;7
LV1.101 Switch 24;LV1.101 Bus 12;LV1.101 Bus 12_1;LS;1;NULL;LV1.101;7
LV1.101 Switch 25;LV1.101 Bus 12;LV1.101 Bus 12_2;LS;1;NULL;LV1.101;7
LV1.101 Switch 26;LV1.101 Bus 13;LV1.101 Bus 13_1;LS;1;NULL;LV1.101;7
LV1.101 Switch 27;LV1.101 Bus 14;LV1.101 Bus 14_1;LS;1;NULL;LV1.101;7
